episode_length,steps_per_second,epsilon,speaker_reward,_step,episode_reward,average_reward_last_10,speaker_q_values,listener_reward,global_step,_timestamp,_runtime,listener_loss,speaker_action_distribution_table,listener_action_distribution_table,listener_q_values,speaker_loss,run_name
25.0,,0.05,-8.40387998005165,1774,-98.57713450746472,,,-8.40387998005165,1774,1755614907.1404326,402.1744164,,"{'_latest_artifact_path': 'wandb-client-artifact://4u1nfcekui4mtxulrn4araroeaesfb6czt05awnicd7cqfuw2ynvuxqahwxt7u3ca57vhqfkcv56buu6ny9ei4rdq6ockl0blmv6ae3om3y0bsjiy8gbvby9thrqyqyt:latest/speaker_action_distribution_table.table.json', 'ncols': 2, 'nrows': 3, 'size': 84, 'artifact_path': 'wandb-client-artifact://7o1begzkr0oryc0pxioeoucjx9egbhlbqqh7aona9oc62wrp1pnkjsfbj4jmd994zcsd2fzoz0gf7k7em6p8hu0fyochc4oyojhe69yhuu35u0n3vx5n1955f6hg4ogj/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_1774_2b5108a6ed9e005ca024.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'sha256': '2b5108a6ed9e005ca024fd3e929aff57958cf42808217ff59a671c342dd0a65e'}","{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://9c9pdms1s272q6t4h0ie9vwy7g8srhul2f3lyzvo2aq9873l4kd9ce2ra167r671mcrig9ntbmlis5g5z48x7xsbtzkw9pnsmn2gbqudhnjl5erlph2ruya1kovwkeif:latest/listener_action_distribution_table.table.json', 'path': 'media/table/listener_action_distribution_table_1774_45774b6c9b6cad6ac1e9.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://gixpa34f4jmgdmja7htr9h0171jn7028xtbmoez7u42pvcoa947a3jsnzyd0kyb0vx9jd52mrj1jmbw6nd9i402vwf4ru8x9ust7i15whuz5bapbdcbixxay76ldtkgt/listener_action_distribution_table.table.json', 'size': 107, 'nrows': 5, 'sha256': '45774b6c9b6cad6ac1e9379485ee688553e7d1e76c01b864837593be8db73fe6', 'ncols': 2}",,,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1790,,-56.831998160398044,-1.0218257904052734,,1790,1755614915.3060188,412.2641861,0.05727405473589897,,,-0.5608751773834229,0.1846686601638794,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1800,,-57.905883120773446,-1.0732276439666748,,1800,1755614920.80488,416.1899723,0.09103816747665405,,,-0.5066324472427368,0.22749143838882446,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1810,,-57.905883120773446,-1.079066276550293,,1810,1755614924.7307081,420.7815846,0.09173814207315445,,,-0.3792451024055481,0.2565109133720398,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1820,,-57.905883120773446,-1.1236988306045532,,1820,1755614929.3218784,425.5087427,0.10025698691606522,,,-0.3486720323562622,0.22587469220161438,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1840,,-71.68949759843807,-1.1757627725601196,,1840,1755614938.574885,434.9487583,0.07968683540821075,,,-0.44192877411842346,0.17987260222434998,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1850,,-63.502345207659076,-1.3009485006332397,,1850,1755614943.4899445,439.0800789,0.07762368023395538,,,-0.5983827114105225,0.19548441469669342,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1930,,-58.634980934972546,-1.3981914520263672,,1930,1755614980.5619452,476.7028139,0.0622406080365181,,,-0.5406713485717773,0.13573342561721802,ma_dqn_hypergraph_gat__1__1755614506
,4.0,0.05,,1980,,-63.98552777250045,-1.2529526948928833,,1980,1755615002.9832175,499.1203831,0.0430336631834507,,,-0.5130893588066101,0.11052758246660233,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2010,,-59.89719081413591,-1.3123815059661865,,2010,1755615016.4787862,512.1262175,0.0660616084933281,,,-0.6435291767120361,0.1102902963757515,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2020,,-59.89719081413591,-1.3941335678100586,,2020,1755615020.667088,513.3653525,0.07711230218410492,,,-0.6596577167510986,0.08537869900465012,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2030,,-51.68059525543099,-1.5797005891799927,,2030,1755615028.0420067,523.7647265,0.05452229082584381,,,-0.810703694820404,0.12534542381763458,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2040,,-51.68059525543099,-1.4037795066833496,,2040,1755615032.30601,528.2626252,0.04406880587339401,,,-0.7151708006858826,0.1261119246482849,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2060,,-50.21051734766108,-1.411627173423767,,2060,1755615042.686781,538.4073954,0.06189603731036186,,,-0.7380399107933044,0.1448325216770172,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2090,,-33.61269595145747,-1.3792203664779663,,2090,1755615056.2732272,552.5783641,0.05171521008014679,,,-0.6676583290100098,0.10357905924320221,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2110,,-35.38319151314431,-1.2944904565811157,,2110,1755615065.76033,561.9117051,0.05684245005249977,,,-0.6566303968429565,0.11073632538318634,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2120,,-35.38319151314431,-1.280124306678772,,2120,1755615070.4522886,566.9588464,0.06182252988219261,,,-0.611223578453064,0.11874011158943176,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2180,,-61.49360372850263,-1.6763923168182373,,2180,1755615099.0517364,595.1807933,0.05913957208395004,,,-0.6693722009658813,0.15011635422706604,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2200,,-62.25570222298919,-1.5382617712020874,,2200,1755615108.7113345,604.6524687,0.042696818709373474,,,-0.8019685745239258,0.1352664679288864,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2210,,-62.25570222298919,-1.417201280593872,,2210,1755615113.1935058,609.1771365,0.06997168809175491,,,-0.8832104206085205,0.13266213238239288,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2230,,-58.398867971396555,-1.1808542013168335,,2230,1755615122.562294,618.6451372,0.05368093401193619,,,-0.6630681753158569,0.11628525704145432,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2240,,-58.398867971396555,-1.0780357122421265,,2240,1755615127.1856992,623.6013913,0.05940813198685646,,,-0.6236686110496521,0.09380855411291122,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2250,,-58.586211364089024,-1.085092544555664,,2250,1755615132.142264,628.3151422,0.05271174758672714,,,-0.5500187277793884,0.11835745722055435,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2260,,-58.586211364089024,-1.0872337818145752,,2260,1755615136.8558822,632.8011263,0.055493827909231186,,,-0.5316286087036133,0.12615418434143066,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2270,,-58.586211364089024,-1.1444272994995117,,2270,1755615141.3423736,633.989088,0.05328500270843506,,,-0.4597061574459076,0.10320449620485306,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2280,,-60.40072269723318,-1.2928062677383423,,2280,1755615148.722044,644.6819274,0.048065971583127975,,,-0.44406020641326904,0.12319190800189972,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2290,,-60.40072269723318,-1.456627607345581,,2290,1755615153.2223601,649.4625118,0.058420173823833466,,,-0.4926186203956604,0.15359239280223846,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2300,,-61.682114068292364,-1.4936875104904175,,2300,1755615158.0028496,654.7714769,0.06595725566148758,,,-0.47145166993141174,0.12290281802415848,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2310,,-61.682114068292364,-1.5952624082565308,,2310,1755615163.3127015,659.5627286,0.08966260403394699,,,-0.5499542951583862,0.13428939878940582,ma_dqn_hypergraph_gat__1__1755614506
,3.0,0.05,,2320,,-61.682114068292364,-1.6909558773040771,,2320,1755615168.1032586,664.3977744,0.05902153626084328,,,-0.6601430773735046,0.1757121980190277,ma_dqn_hypergraph_gat__1__1755614506
